CustomerID,Count,Country,State,City,Zip Code,Lat Long,Latitude,Longitude,Gender,Senior Citizen,Partner,Dependents,Tenure Months,Phone Service,Multiple Lines,Internet Service,Online Security,Online Backup,Device Protection,Tech Support,Streaming TV,Streaming Movies,Contract,Paperless Billing,Payment Method,Monthly Charges,Total Charges,CLTV,Churn Reason,Churn Value
4795-KTRTH,1.0,United States,California,San Diego,92122.0,"32.85723, -117.209774",32.85723,-117.209774,Female,Yes,Yes,No,5.0,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,81.0,371.65,4287.0,Product dissatisfaction,1.0
0089-IIQKO,1.0,United States,California,Coleville,96107.0,"38.42528, -119.475741",38.42528,-119.475741,Female,No,Yes,Yes,39.0,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.95,3767.4,4447.0,,0.0
1705-GUHPV,1.0,United States,California,Los Angeles,90056.0,"33.987945, -118.370442",33.987945,-118.370442,Female,No,No,No,63.0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,24.2,1618.2,4948.0,,0.0
2959-MJHIC,1.0,United States,California,Hinkley,92347.0,"34.983808, -117.239306",34.983808,-117.239306,Male,No,Yes,No,4.0,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,80.35,307.4,4167.0,Product dissatisfaction,1.0
1179-INLAT,1.0,United States,California,Santa Clara,95050.0,"37.351214, -121.952417",37.351214,-121.952417,Male,No,No,No,3.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,19.45,69.25,2787.0,,0.0
8919-FYFQZ,1.0,United States,California,Livermore,94550.0,"37.571748, -121.659562",37.571748,-121.659562,Male,Yes,Yes,No,44.0,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,30.35,1359.7,4829.0,Competitor had better devices,1.0
8221-EQDGL,1.0,United States,California,Alleghany,95910.0,"39.467828, -120.841386",39.467828,-120.841386,Male,No,Yes,No,35.0,Yes,No,DSL,Yes,Yes,Yes,No,No,No,Month-to-month,No,Mailed check,61.0,2130.45,4355.0,,0.0
8580-AECUZ,1.0,United States,California,Truckee,96161.0,"39.342498, -120.247127",39.342498,-120.247127,Male,Yes,No,No,1.0,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,79.1,79.1,5001.0,Extra data charges,1.0
8654-DHAOW,1.0,United States,California,Burson,95225.0,"38.183918, -120.898817",38.183918,-120.898817,Female,No,No,No,2.0,Yes,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,No,Mailed check,54.15,101.65,3527.0,,0.0
7994-XIRTR,1.0,United States,California,Roseville,95747.0,"38.784329, -121.373245",38.784329,-121.373245,Male,Yes,No,No,54.0,Yes,No,DSL,No,No,Yes,Yes,No,Yes,One year,No,Bank transfer (automatic),65.25,3529.95,6161.0,,0.0
9339-FIIJL,1.0,United States,California,Avenal,93204.0,"35.916943, -120.129921",35.916943,-120.129921,Male,No,Yes,No,72.0,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),85.95,6151.9,6450.0,,0.0
1501-SGHBW,1.0,United States,California,Guatay,91931.0,"32.857946, -116.561917",32.857946,-116.561917,Male,No,No,No,2.0,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,45.85,81,3843.0,Competitor made better offer,1.0
1205-WNWPJ,1.0,United States,California,Lakehead,96051.0,"40.883853, -122.418258",40.883853,-122.418258,Female,No,No,No,7.0,Yes,No,DSL,No,No,No,Yes,Yes,No,Month-to-month,Yes,Mailed check,59.5,415.95,4661.0,Moved,1.0
8949-JTMAY,1.0,United States,California,Mc Kittrick,93251.0,"35.38381, -119.730885",35.38381,-119.730885,Female,No,No,No,29.0,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),98.6,2933.2,5144.0,Attitude of support person,1.0
3223-DWFIO,1.0,United States,California,Forks Of Salmon,96031.0,"41.232128, -123.194748",41.232128,-123.194748,Male,Yes,No,No,4.0,Yes,No,Fiber optic,No,,No,No,No,No,Month-to-month,No,Electronic check,69.35,261.65,4140.0,,0.0
8467-WYNSR,1.0,United States,California,Clayton,94517.0,"37.881842, -121.848111",37.881842,-121.848111,Male,No,No,No,22.0,Yes,No,DSL,Yes,No,No,Yes,No,No,Month-to-month,No,Mailed check,55.1,1253.15,2729.0,,0.0
9172-JITSM,1.0,United States,California,Palm Desert,92211.0,"33.762759, -116.324817",33.762759,-116.324817,Female,No,Yes,No,26.0,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,90.8,2361.8,2641.0,Don't know,1.0
2267-WTPYD,1.0,United States,California,Granada Hills,91344.0,"34.291273, -118.505104",34.291273,-118.505104,Female,Yes,Yes,No,57.0,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,No,Credit card (automatic),94.0,5438.95,6015.0,,0.0
6137-MFAJN,1.0,United States,California,Los Angeles,90008.0,"34.008293, -118.346766",34.008293,-118.346766,Female,No,No,No,48.0,No,No phone service,DSL,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,44.8,2104.55,2469.0,,0.0
5816-QVHRX,1.0,United States,California,San Leandro,94579.0,"37.687264, -122.15728",37.687264,-122.15728,Female,No,No,No,37.0,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,No,Credit card (automatic),100.3,3541.4,4040.0,,0.0
7674-YTAFD,1.0,United States,California,North Hills,91343.0,"34.238802, -118.482296",34.238802,-118.482296,Female,No,No,No,33.0,Yes,No,Fiber optic,No,Yes,No,Yes,No,No,One year,Yes,Bank transfer (automatic),79.95,2684.85,3118.0,,0.0
7824-PANSQ,1.0,United States,California,Mammoth Lakes,93546.0,"37.550074, -118.837167",37.550074,-118.837167,Male,No,No,No,58.0,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Bank transfer (automatic),80.65,4807.35,6043.0,,0.0
5136-GFPMB,1.0,United States,California,Spring Valley,91978.0,"32.730264, -116.950963",32.730264,-116.950963,Male,No,No,No,54.0,Yes,Yes,Fiber optic,,No,Yes,No,No,Yes,Month-to-month,No,Credit card (automatic),89.4,4869.5,5871.0,,0.0
5336-UFNZP,1.0,United States,California,Monterey Park,91755.0,"34.049172, -118.115022",34.049172,-118.115022,Female,Yes,Yes,Yes,65.0,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,Yes,Electronic check,107.45,7047.5,6211.0,,0.0
2111-DWYHN,1.0,United States,California,Aptos,95003.0,"37.013471, -121.877877",37.013471,-121.877877,Male,No,No,No,1.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,21.1,21.1,2810.0,,0.0
7541-YLXCL,1.0,United States,California,Pomona,91767.0,"34.083086, -117.737997",34.083086,-117.737997,Male,No,No,No,36.0,Yes,No,DSL,No,Yes,No,Yes,No,Yes,One year,Yes,Mailed check,65.4,2498.4,5220.0,Don't know,1.0
1513-XNPPH,1.0,United States,California,Los Angeles,90037.0,"34.002642, -118.287596",34.002642,-118.287596,Female,No,No,No,12.0,Yes,No,Fiber optic,No,No,Yes,Yes,No,Yes,Month-to-month,Yes,Electronic check,89.4,1095.65,5047.0,Product dissatisfaction,1.0
3621-CHYVB,1.0,United States,California,Soquel,95073.0,"37.023669, -121.946461",37.023669,-121.946461,Female,No,Yes,No,57.0,No,No phone service,DSL,Yes,No,Yes,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),49.9,2782.4,5866.0,,0.0
7881-EVUAD,1.0,United States,California,Oroville,95966.0,"39.473896, -121.415927",39.473896,-121.415927,Female,No,No,No,2.0,No,No phone service,DSL,Yes,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,42.6,72.4,4648.0,Competitor offered more data,1.0
0666-UXTJO,1.0,United States,California,Morongo Valley,92256.0,"34.097863, -116.594561",34.097863,-116.594561,Male,Yes,Yes,No,34.0,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Credit card (automatic),85.2,2874.45,5393.0,,0.0
3374-PZLXD,1.0,United States,California,Blairsden Graeagle,96103.0,"39.783747, -120.661032",39.783747,-120.661032,Male,No,No,No,34.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,19.7,675.6,4136.0,,0.0
0236-HFWSV,1.0,United States,California,,93552.0,"34.557711, -118.029441",34.557711,-118.029441,Male,No,No,No,15.0,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,93.35,1444.65,5264.0,Competitor offered higher download speeds,1.0
3259-QMXUN,1.0,United States,California,Campo Seco,95226.0,"38.233879, -120.861666",38.233879,-120.861666,Male,No,Yes,No,58.0,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,Yes,Two year,Yes,Electronic check,86.1,4890.5,5666.0,,0.0
5133-POWUA,1.0,United States,California,Somerset,95684.0,"38.606703, -120.586659",38.606703,-120.586659,Male,No,No,No,1.0,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,45.8,45.8,2614.0,,0.0
2592-HODOV,1.0,United States,California,Brea,92823.0,"33.924143, -117.79387",33.924143,-117.79387,Male,No,No,No,13.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),19.3,259.65,2823.0,,0.0
1833-VGRUM,1.0,United States,California,Perris,92570.0,"33.787298, -117.320676",33.787298,-117.320676,Female,Yes,No,No,1.0,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,74.2,74.2,4684.0,Price too high,1.0
3090-QFUVD,1.0,United States,California,Reedley,93654.0,"36.636638, -119.421842",36.636638,-119.421842,Female,No,No,No,1.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),20.3,20.3,2507.0,,0.0
6954-OOYZZ,1.0,United States,California,Los Angeles,90006.0,"34.048013, -118.293953",34.048013,-118.293953,Male,No,Yes,No,18.0,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),44.35,768.05,2935.0,,0.0
9985-MWVIX,1.0,United States,California,Hume,93628.0,"36.807595, -118.901544",36.807595,-118.901544,Female,No,No,No,1.0,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,70.15,70.15,5773.0,Attitude of support person,1.0
2604-XVDAM,1.0,United States,California,Pope Valley,94567.0,"38.672708, -122.403219",38.672708,-122.403219,Female,No,No,No,12.0,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),43.8,540.95,5706.0,,0.0
1474-JUWSM,1.0,United States,California,Lynwood,90262.0,"33.923573, -118.200669",33.923573,-118.200669,Female,No,Yes,No,58.0,Yes,Yes,DSL,Yes,No,No,Yes,No,Yes,One year,Yes,Electronic check,68.4,3972.25,5269.0,,0.0
8204-TIFGJ,1.0,United States,California,June Lake,93529.0,"37.730269, -119.055813",37.730269,-119.055813,Female,No,No,No,23.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),20.3,470.6,,,0.0
9286-BHDQG,1.0,United States,California,Thousand Oaks,91362.0,"34.191842, -118.822796",34.191842,-118.822796,Male,No,Yes,No,72.0,No,No phone service,DSL,Yes,Yes,Yes,Yes,No,No,Two year,No,Credit card (automatic),45.25,3139.8,5041.0,,0.0
0058-EVZWM,1.0,United States,California,Stockton,95209.0,"38.044523, -121.348048",38.044523,-121.348048,Female,No,Yes,No,55.0,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),89.8,4959.6,5875.0,,0.0
3858-XHYJO,1.0,United States,California,San Gabriel,91776.0,"34.089927, -118.095645",34.089927,-118.095645,Female,No,Yes,No,40.0,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,One year,No,Bank transfer (automatic),105.75,4228.55,4078.0,,0.0
6572-ADKRS,1.0,United States,California,Los Angeles,90040.0,"33.994524, -118.149953",33.994524,,Female,No,No,No,46.0,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),74.8,3548.3,3395.0,,0.0
2640-LYMOV,1.0,United States,California,Anaheim,92804.0,"33.818, -117.974404",33.818,-117.974404,Male,No,No,No,2.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,19.65,38.8,3007.0,,0.0
1658-TJVOA,1.0,United States,California,Cazadero,95421.0,"38.578807, -123.19338",38.578807,-123.19338,Female,Yes,No,No,6.0,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,74.1,450.9,4716.0,,0.0
6110-OHIHY,1.0,United States,California,Burney,96013.0,"40.946785, -121.719489",40.946785,-121.719489,Male,No,No,No,3.0,Yes,No,Fiber optic,,No,No,No,Yes,No,Month-to-month,No,Electronic check,79.25,267.6,4183.0,Competitor offered higher download speeds,1.0
0115-TFERT,1.0,United States,California,Fresno,93650.0,"36.841655, -119.797113",36.841655,-119.797113,Male,No,Yes,No,21.0,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,111.2,2317.1,4123.0,Attitude of service provider,1.0
3969-GYXEL,1.0,United States,California,Berkeley,94708.0,"37.897743, -122.263124",37.897743,-122.263124,Female,No,No,No,11.0,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Electronic check,76.4,838.7,4033.0,,0.0
5419-KLXBN,1.0,United States,California,Palomar Mountain,92060.0,"33.309852, -116.823091",33.309852,-116.823091,Female,No,Yes,No,25.0,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),89.15,2257.75,5853.0,Competitor offered higher download speeds,1.0
6963-KQYQB,1.0,United States,California,Pacifica,94044.0,"37.573633, -122.455167",37.573633,-122.455167,Female,No,Yes,Yes,70.0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,24.05,1764.75,4722.0,,0.0
3422-LYEPQ,1.0,United States,California,Carmel By The Sea,93921.0,"36.554618, -121.922239",36.554618,-121.922239,Male,No,Yes,No,1.0,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,71.0,71,4207.0,Attitude of support person,1.0
4822-RVYBB,1.0,United States,California,Berkeley,94704.0,"37.871416, -122.246597",37.871416,-122.246597,Male,Yes,No,No,8.0,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.6,819.4,5906.0,Competitor offered higher download speeds,1.0
2474-BRUCM,1.0,United States,California,Redding,96002.0,"40.527834, -122.318749",40.527834,-122.318749,Male,Yes,Yes,No,40.0,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,,Electronic check,101.85,4086.3,2837.0,Don't know,1.0
0265-PSUAE,1.0,United States,California,Lotus,95651.0,"38.815515, -120.916997",38.815515,-120.916997,Female,No,Yes,Yes,16.0,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),100.7,1522.7,3337.0,,0.0
4495-LHSSK,1.0,United States,California,Camp Nelson,93208.0,"36.057458, -118.591951",36.057458,-118.591951,Female,No,No,Yes,18.0,Yes,Yes,DSL,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,57.65,992.7,3425.0,,0.0
3936-QQFLL,1.0,United States,California,Calimesa,92320.0,"33.982787, -117.057627",33.982787,-117.057627,Male,No,No,No,2.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,19.75,39.3,4064.0,,0.0
1754-GKYPY,1.0,United States,California,Carson,90746.0,"33.859171, -118.252272",33.859171,-118.252272,Male,Yes,Yes,No,22.0,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),89.75,1938.9,4180.0,,0.0
5787-KXGIY,1.0,United States,California,Palo Alto,94303.0,"37.45809, -122.115398",37.45809,-122.115398,Male,No,Yes,No,72.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),19.3,1304.8,4035.0,,0.0
9373-WSLOY,1.0,United States,California,Carlsbad,92008.0,"33.148116, -117.306043",33.148116,-117.306043,Male,Yes,Yes,No,33.0,No,No phone service,DSL,No,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,Electronic check,50.0,1750.85,5600.0,,0.0
2207-RYYRL,1.0,United States,California,Grass Valley,95945.0,"39.194539, -120.988066",39.194539,-120.988066,Male,No,Yes,Yes,52.0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,24.55,1331.05,5535.0,,0.0
6185-TASNN,1.0,United States,California,Chula Vista,91913.0,"32.64164, -116.985026",32.64164,-116.985026,Male,Yes,No,No,1.0,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,46.3,46.3,2546.0,,0.0
5766-ZJYBB,1.0,United States,California,Brisbane,94005.0,"37.684694, -122.40712",37.684694,-122.40712,Male,No,No,No,1.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,19.4,19.4,4152.0,Service dissatisfaction,1.0
